Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Need for Speed;66;69;60;Ghost Games;Auto Racing Sim;03/11/2015
Need for Speed Heat;72;61;63;Ghost Games;Auto Racing;08/11/2019
Need for Speed Hot Pursuit Remastered;75;36;59;Criterion Games;Auto Racing;06/11/2020
Need for Speed Most Wanted;84;49;61;Criterion Games;Auto Racing;30/10/2012
Need for Speed Payback;61;61;37;Ghost Games;Auto Racing;07/11/2017
Need for Speed Rivals;80;53;63;Ghost Games;Auto Racing Sim;15/11/2013
Need for Speed Unbound;77;54;59;Criterion Games;Auto Racing;29/11/2022
Neon Abyss;74;12;66;Veewo Games;2D Platformer;14/07/2020
Neon White;89;44;84;Angel Matrix;FPS;16/06/2022
New Super Lucky's Tale;76;28;80;Playful Corp.;3D Platformer;08/11/2019
NHL 23;71;25;31;EA Vancouver;Hockey Sim;11/10/2022
NHL 24;71;19;36;EA Vancouver;Hockey Sim;06/10/2023
NHL 94 Rewind;;;70;Electronic Arts;Hockey Sim;30/10/2020
Ni no Kuni II: Revenant Kingdom The Prince's Ed.;80;39;77;Level 5;JRPG;17/09/2021
Nickelodeon All-Star Brawl 2;77;15;67;Ludosity Interactive - Fair Play Labs;2D Fighting;07/11/2023
Nine Sols;84;20;85;Red Candle Games;2D Platformer;28/05/2024
Ninja Gaiden 3: Razor's Edge;69;41;74;Team Ninja;Action Adventure;18/11/2012
Ninja Gaiden ?;72;47;74;Team Ninja;Action Adventure;21/02/2012
Ninja Gaiden ?2;83;52;78;Team Ninja;Action Adventure;29/09/2009
Ninja Gaiden Master Collection;73;44;69;Team Ninja;Compilation;10/06/2021
Ninja Gaiden II Black;81;9;78;Team Ninja;Action Adventure;23/01/2025
No Man's Sky;71;100;55;Hello Games;Open-World Action;09/08/2016
No More Heroes 3;75;105;80;Grasshopper Manufacture;Open-World Action;27/08/2021
Octopath Traveler;83;87;83;Acquire;JRPG;12/07/2018
Octopath Traveler II;85;61;86;Acquire;JRPG;24/02/2023
Open Roads;67;32;63;Open Roads Team;Adventure;28/03/2024
Orcs Must Die! 3;77;10;71;Robot Entertainment;Defense;23/07/2021
Ori and the Blind Forest Def. Ed.;88;24;83;Moon Studios;Metroidvania;11/03/2016
Ori & The Will of the Wisps;90;76;89;Moon Studios;Metroidvania;11/03/2020
The Outer Worlds;85;82;78;Obsidian Entertainment;Western RPG;25/10/2019
Overcooked! 2;81;40;79;Ghost Town Games Ltd.;Arcade;07/08/2018
Overthrown;;;;Brimstone Games;Sandbox;
Palworld;;;;;Sandbox;
PAW Patrol Mighty Pups Save Adventure Bay;;;72;Drakhar Studio;3D Platformer;06/11/2020
PAW Patrol World;79;4;54;3DClouds;Open-World Action;29/09/2023
Payday 2: Crimewave Edition;79;51;41;Overkill Software;FPS;13/08/2013
Peggle;89;32;78;PopCap;Action Puzzle;11/03/2009
Peggle 2;77;39;71;PopCap;Action Puzzle;09/12/2013
Peggle Nights;89;5;75;PopCap;Action Puzzle;18/11/2009
Pentiment;86;60;76;Obsidian Entertainment;Adventure;15/11/2022
Perfect Dark;97;30;85;Rare Ltd.;FPS;22/05/2000
Perfect Dark Zero;81;75;64;Rare Ltd.;FPS;17/11/2005
Persona 3 Reload;87;70;87;P-Studio;JRPG;02/02/2024
Phoenix Point;74;50;58;Snapshot Games Inc.;Turn-Based Tactics;03/12/2019
Pillars of Eternity II: Deadfire Ultimate Ed.;76;5;49;Obsidian Entertainment;Western RPG;28/01/2020
Pillars of Eternity: Complete Ed./Hero Ed.;85;25;71;Paradox Arctic;Western RPG;29/08/2017
A Plague Tale: Requiem;82;70;82;Asobo Studio;Linear Action Adventure;18/10/2022
